ps,category,ideas,cap,org,theme,deadline,title
SIH26162,Software,16,500,National Technical Research Organisation (NTRO),Disaster Management,30 September 2026,"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data"
SIH26163,Software,3,500,National Technical Research Organisation (NTRO),Smart Automation,30 September 2026,Security Assessment of the World Monitor application
SIH26164,Software,8,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Enterprise Cryptographic Discovery & Analysis Tool (ECDAT)
SIH26165,Software,16,500,Oil India Limited,Smart Automation,30 September 2026,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports
SIH26166,Software,29,500,Indian Space Research Organisation(ISRO),Space Technology,30 September 2026,"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)"
SIH26167,Software,53,500,Indian Space Research Organisation(ISRO),Space Technology,30 September 2026,SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries
SIH26168,Software,22,500,Indian Space Research Organisation(ISRO),Smart Vehicles,30 September 2026,AI-ML based Intelligent Dead Reckoning system for seamless navigation
SIH26169,Software,8,500,Indian Space Research Organisation(ISRO),Smart Automation,30 September 2026,Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals
SIH26170,Software,8,500,Indian Space Research Organisation(ISRO),Smart Automation,30 September 2026,AI-Driven Anomaly Detection in Component Burn-In & Screening
SIH26171,Software,27,500,Indian Space Research Organisation(ISRO),Smart Automation,30 September 2026,On-device Visual Perception for Light-weight Browser Agents
SIH26172,Hardware,13,500,Indian Space Research Organisation(ISRO),Smart Automation,30 September 2026,Low Latency and Efficient Voice Activator for Edge Devices
SIH26173,Software,8,500,Indian Space Research Organisation(ISRO),Smart Automation,30 September 2026,iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links
SIH26174,Software,11,500,Indian Space Research Organisation(ISRO),Space Technology,30 September 2026,AI Human Activity Recognition for On-board BAS Experiments
SIH26175,Software,12,500,Indian Space Research Organisation(ISRO),Disaster Management,30 September 2026,DepthWizard - Single-View Height Estimation and 3D Flythrough
SIH26176,Software,22,500,Indian Space Research Organisation(ISRO),Space Technology,30 September 2026,ORCA Marine EcOsystem Reasoning with Collaborative Agents
SIH26177,Hardware,43,500,Qualcomm Inc,Robotics and Drones,30 September 2026,"A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time."
SIH26178,Hardware,39,500,Qualcomm Inc,Disaster Management,30 September 2026,"A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention."
SIH26179,Hardware,14,500,Qualcomm Inc,Miscellaneous,30 September 2026,"To build an AI-powered retail intelligence platform that delivers real-time shopper analytics, automated inventory visibility, and proactive queue management through on-device AI,enabling retailers to reduce stock-outs, improve customer experience, optimize staffing, and increase operational efficiency while maintaining privacy and minimizing cloud dependency."
SIH26180,Hardware,52,500,Qualcomm Inc,"Agriculture, FoodTech & Rural Development",30 September 2026,"A field-deployable AI-powered Smart Farming Assistant that helps farmers detect crop diseases, pests, nutrient deficiencies, and irrigation needs at an early stage, while improving resilience against droughts, floods, heat waves, and other agricultural risks common in India. The solution should enable higher yields, lower input costs, more efficient water usage, and faster response to emerging threats through real-time on-device intelligence."
SIH26181,Hardware,37,500,Qualcomm Inc,MedTech / BioTech / HealthTech,30 September 2026,"A secure, AI-powered Personal Health Companion that delivers real-time, privacy-preserving health monitoring and early warning capabilities, helping individuals recognize health risks before they become emergencies. The solution should improve resilience during heat waves, floods, pollution events, and other disasters common in India while enabling continuous health support through on-device intelligence."
SIH26182,Software,10,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs
SIH26183,Software,15,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics
SIH26184,Software,20,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention."
SIH26185,Hardware,7,500,Ministry of Home Affairs,Robotics and Drones,30 September 2026,Helmet mounted conformal antenna for tactical communications in urban CQB environments.
SIH26186,Software,20,500,Ministry of Home Affairs,MedTech / BioTech / HealthTech,30 September 2026,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces
SIH26187,Software,52,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.
SIH26188,Software,79,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,Al-Based Fake Identity & Document Screening System
SIH26189,Software,71,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,AI-Powered Criminal Network Analysis System
SIH26190,Software,34,500,Ministry of Home Affairs,Blockchain & Cybersecurity,30 September 2026,Secure Digital Document Management System for Legal and Investigation Documents
SIH26191,Software,24,500,Ministry of Home Affairs,Disaster Management,30 September 2026,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations"
SIH26192,Software,21,500,Ministry of Home Affairs,Disaster Management,30 September 2026,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme
SIH26193,Software,57,500,AICTE,"Agriculture, FoodTech & Rural Development",30 September 2026,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce."
SIH26194,Software,17,500,AICTE,Blockchain & Cybersecurity,30 September 2026,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.
SIH26195,Software,38,500,AICTE,Clean & Green Technology,30 September 2026,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system."
SIH26196,Software,31,500,AICTE,Fitness & Sports,30 September 2026,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.
SIH26197,Software,41,500,AICTE,Heritage & Culture,30 September 2026,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.
SIH26198,Software,91,500,AICTE,MedTech / BioTech / HealthTech,30 September 2026,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation."
SIH26199,Software,47,500,AICTE,Miscellaneous,30 September 2026,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail."
SIH26200,Software,20,500,AICTE,Renewable / Sustainable Energy,30 September 2026,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently
SIH26201,Software,8,500,AICTE,Robotics and Drones,30 September 2026,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc."
SIH26202,Software,64,500,AICTE,Smart Automation,30 September 2026,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.
SIH26203,Software,12,500,AICTE,Smart Vehicles,30 September 2026,Student Innovation-Creating intelligent devices to improve commutation sector.
SIH26204,Software,95,500,AICTE,Travel & Tourism,30 September 2026,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others."
SIH26205,Software,55,500,AICTE,Transportation & Logistics,30 September 2026,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure."
SIH26206,Software,61,500,AICTE,Disaster Management,30 September 2026,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster."
SIH26207,Software,97,500,AICTE,Smart Education,30 September 2026,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably."
SIH26208,Software,27,500,AICTE,Toys & Games,30 September 2026,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc."
SIH26209,Software,17,500,AICTE,Space Technology,30 September 2026,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration."
SIH26210,Hardware,48,500,AICTE,"Agriculture, FoodTech & Rural Development",30 September 2026,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce."
SIH26211,Hardware,1,500,AICTE,Blockchain & Cybersecurity,30 September 2026,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.
SIH26212,Hardware,48,500,AICTE,Clean & Green Technology,30 September 2026,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system."
SIH26213,Hardware,7,500,AICTE,Fitness & Sports,30 September 2026,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.
SIH26214,Hardware,4,500,AICTE,Heritage & Culture,30 September 2026,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.
SIH26215,Hardware,52,500,AICTE,MedTech / BioTech / HealthTech,30 September 2026,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation."
SIH26216,Hardware,15,500,AICTE,Miscellaneous,30 September 2026,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail."
SIH26217,Hardware,76,500,AICTE,Renewable / Sustainable Energy,30 September 2026,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently
SIH26218,Hardware,19,500,AICTE,Robotics and Drones,30 September 2026,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc."
SIH26219,Hardware,33,500,AICTE,Smart Automation,30 September 2026,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.
SIH26220,Hardware,36,500,AICTE,Smart Vehicles,30 September 2026,Student Innovation-Creating intelligent devices to improve commutation sector.
SIH26221,Hardware,7,500,AICTE,Travel & Tourism,30 September 2026,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others."
SIH26222,Hardware,17,500,AICTE,Transportation & Logistics,30 September 2026,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure."
SIH26223,Hardware,45,500,AICTE,Disaster Management,30 September 2026,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster."
SIH26224,Hardware,10,500,AICTE,Smart Education,30 September 2026,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably."
SIH26225,Hardware,4,500,AICTE,Toys & Games,30 September 2026,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc."
SIH26226,Hardware,12,500,AICTE,Space Technology,30 September 2026,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration."
SIH26227,Software,12,500,Ministry of defence (MoD),Space Technology,30 September 2026,Semantic Retrieval and Multi-Temporal Change Analysis of Satellite lmagery.
SIH26228,Software,9,500,Ministry of defence (MoD),Blockchain & Cybersecurity,30 September 2026,"Trustworthy Computer Vision Integrity Assurance for Data, Models and Inference Outputs in Multi-Contributor Pipelines"
SIH26229,Software,17,500,Ministry of Mines (MoM),Clean & Green Technology,30 September 2026,Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling Chain
SIH26230,Hardware,26,500,Ministry of Home Affairs,MedTech / BioTech / HealthTech,30 September 2026,Breath-Based Detection Device for Drug Consumption
SIH26231,Software,10,500,Ministry of Home Affairs,MedTech / BioTech / HealthTech,30 September 2026,Digital Companion for Field Drug Testing
SIH26232,Hardware,3,500,Ministry of Food Processing Industries (MoFPI),"Agriculture, FoodTech & Rural Development",30 September 2026,Low-Cost loT Block chain Nodes for Farm-to-Fork Traceability
SIH26233,Hardware,1,500,Ministry of Food Processing Industries (MoFPI),"Agriculture, FoodTech & Rural Development",30 September 2026,Inline Microbial Contamination Detection Using Hyperspectral Edge Sensors
SIH26234,Software,11,500,Ministry of Food Processing Industries (MoFPI),"Agriculture, FoodTech & Rural Development",30 September 2026,Al-Powered Smart Food Waste Reduction and Sustainable Redistribution Ecosystem for Institutional Kitchens and Food Processing Units
SIH26235,Hardware,4,500,Ministry of Food Processing Industries (MoFPI),"Agriculture, FoodTech & Rural Development",30 September 2026,Development of a Portable Nano engineered Rapid Food Testing Kit for On-Site Detection of Food Adulterants and Contaminants
SIH26236,Software,8,500,Ministry of Food Processing Industries (MoFPI),"Agriculture, FoodTech & Rural Development",30 September 2026,Al-Based Intelligent Food Packaging Material Recommendation System for Food Commodities
SIH26237,Software,6,500,Ministry of Defence,Blockchain & Cybersecurity,30 September 2026,Cryptographic Attribution and Immutable Decryption Provenance for Multi-Recipient Encrypted Document Distribution
SIH26238,Software,6,500,Ministry of Tribal Affairs,Smart Automation,30 September 2026,Unified Scholarship Mobile Application for Tribal Students
SIH26239,Software,4,500,Ministry of Tribal Affairs,Smart Education,30 September 2026,AI-Enabled Scholarship and Fellowship Management System for Scheduled Tribes
SIH26240,Software,7,500,Ministry of Tribal Affairs,"Agriculture, FoodTech & Rural Development",30 September 2026,AI-Based Spring Revival and Recharge Planning for Tribal Areas
